,id,title,author,genre,platform,story,age,rate,free,complete,thumbnail,website
0,,저기요 손님, 강소소,"드라마, 코믹, 친구",다음 웹툰,너무 다른 네 명의 절친이 뜬금없이 카페 동업하면서 벌어지는 좌충우돌 청춘드라마,0.0,9.5,1.0,0.0,http://t1.daumcdn.net/webtoon/op/8202c8be50f1c0abf85017140344f7c5b9677061,http://webtoon.daum.net/webtoon/view/excuseme
1,,우리가 사랑하는 방법, 기비,"순정, 짝사랑, 아이돌",다음 웹툰,그녀의 마음을 얻기 위해 아이돌 덕질에 뛰어들다!,0.0,9.9,1.0,0.0,http://t1.daumcdn.net/webtoon/op/3e88732b0d20682e2e40c2631cb201727a15b000,http://webtoon.daum.net/webtoon/view/loveway
2,,대선비쇼에 어서오세요!, 아람,"드라마, 코믹, 음식",다음 웹툰,유도선수를 그만두고 졸업을 기다리던 황희는 PD지망생 요한을 만나 방송을 찍게 된다!,0.0,9.7,1.0,0.0,http://t1.daumcdn.net/webtoon/op/6cb578e58950c20cc7064547df67694a18df3aae,http://webtoon.daum.net/webtoon/view/sunbishow
3,,지옥사원, 네온비/캐러멜,"드라마, 판타지, 악마",다음 웹툰,인간이 된 악마의 사회 적응기! 그리고 그를 위협하는 존재들.,0.0,9.9,1.0,0.0,http://t1.daumcdn.net/webtoon/op/17b38f55433209c0d858f7a96001f8d2ca287dba,http://webtoon.daum.net/webtoon/view/hellTemple
4,,학사재생, 소유현/윰짝짝,"무협, 회귀, 소년",다음 웹툰,"천하제일이었던 사내, 금수저를 물고 다시 태어났다! 하지만 인생은 그리 호락호락하지 않다.",0.0,9.9,1.0,0.0,http://t1.daumcdn.net/webtoon/op/d4d3d7258e4de594f998f79ff446386a32419703,http://webtoon.daum.net/webtoon/view/haksajaeseng
5,,그 아해, 권계림,"미스터리, 스릴러, 초능력",다음 웹툰,"의사 행세를 하는 한 정신과 환자가 나타난 뒤로, '나'의 주변에서 자꾸만 이상한 일이 벌어진다. 그의 정체는 무엇일까.",0.0,9.8,1.0,0.0,http://t1.daumcdn.net/webtoon/op/c7dc139a363e39368857d2149035e4a12f9caff9,http://webtoon.daum.net/webtoon/view/achild
6,,천광명월, 석빈,"무협, 가족, 기생",다음 웹툰,강자만이 살아남는 무림전국시대. 전쟁노예 천광과 중원제일의 기생 명월의 무림 생존기,0.0,9.8,1.0,0.0,http://t1.daumcdn.net/webtoon/op/827557b9e58b7cdf5879514f5e8dcd9fd45dd858,http://webtoon.daum.net/webtoon/view/sunlightmoon
7,,오무라이스 잼잼, 조경규,"일상, 코믹, 음식",다음 웹툰,한끼 한끼 최선을 다 해 먹는 조경규 작가의 맛나는 세상!,0.0,8.9,1.0,0.0,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/55261FAF02271B0002,http://webtoon.daum.net/webtoon/view/jamjam
8,,단두 (斷頭), 붉은 발/이동욱,"무협, 액션, 무장",다음 웹툰,"부모님의 원수를 갚기 위해 고전분투하는 단영, 단린, 두 오누이의 성장과 복수의 여정",19.0,9.8,1.0,0.0,http://t1.daumcdn.net/webtoon/op/a1e290781cacbe264dc260258c4462c435f3eb62,http://webtoon.daum.net/webtoon/view/beheaded
9,,백로식당, 확천금/이나이,"판타지, 드라마, 요리",다음 웹툰,"신들의 음식을 요리하는 만신, 백로의 특별한 식당에 어서오세요.",0.0,9.9,1.0,0.0,http://t1.daumcdn.net/webtoon/op/d96e212754d2694cededfd6e84733c98c1f35340,http://webtoon.daum.net/webtoon/view/baengnodiner
10,,닥터 파인의 하루, 김용회,"드라마, 판타지, 순정, 삶",다음 웹툰,망자의 영혼을 수거하는 남자가 자기와 같은 일을 하는 옆 구역의 여자를 만나 펼쳐지는 삶과 사랑의 이야기,0.0,9.9,1.0,0.0,http://t1.daumcdn.net/webtoon/op/367df669bddc97195b8ec9a43792e53ef2ae4a42,http://webtoon.daum.net/webtoon/view/drfine
11,,블랙 베히모스, 케이지콘,"판타지, 액션, 전투",다음 웹툰,탈리스만이 되기 위한 시험에 도전하는 주인공의 힘겨운 전투,0.0,9.8,1.0,0.0,http://t1.daumcdn.net/webtoon/op/71b9d2fc3b2481111ba98385e9afb589b02f9447,http://webtoon.daum.net/webtoon/view/blackbehemoth
12,,금수친구들, 짤태식,"코믹, 일상, 동물",다음 웹툰,가난한 나무꾼과 사고뭉치 동물들이 만났다! 조선시대 집사의 처절하고 유쾌한 집사 라이프,0.0,9.2,1.0,0.0,http://t1.daumcdn.net/webtoon/op/c1ccee1b77367a10e58682aa3ca172ea30105f76,http://webtoon.daum.net/webtoon/view/beastfriends
13,,그라티아, 상민/기현,"판타지, 액션, 엑소시스트",다음 웹툰,엑소시스트가 되고자 하는 소녀의 이야기,0.0,9.6,1.0,0.0,http://t1.daumcdn.net/webtoon/op/a94c9ff6c32f586ddf1a04cee83dee2656cfe17d,http://webtoon.daum.net/webtoon/view/gratia
14,,흔한 환생녀의 사정, 풀모,"순정, 판타지, 시공간초월",다음 웹툰,흔한 환생녀 발레리의 철벽 로맨스!,0.0,9.9,1.0,0.0,http://t1.daumcdn.net/webtoon/op/62be8f1bbd526a4a2fca1ca891c1f154c6c59d7f,http://webtoon.daum.net/webtoon/view/rebirth
15,,함께 춤을, 도연,"순정, 댄스, 복수",다음 웹툰,운명의 파트너를 만나 <댄스 위드 미> 우승을 거머쥘 수 있을까?,0.0,9.7,1.0,0.0,http://t1.daumcdn.net/webtoon/op/02f15545a73a5206eb1bcf0fc7be0eadb44e504f,http://webtoon.daum.net/webtoon/view/dancingtogether
16,,골드핸즈, 박하,"순정, 드라마, 예술",다음 웹툰,미술에 재능을 가진 '이그린'과 스타작가 '남현'의 비밀스러운 합작 프로젝트,0.0,9.7,1.0,0.0,http://t1.daumcdn.net/webtoon/op/28f01861cb92ba7c73525730805350100fd19eec,http://webtoon.daum.net/webtoon/view/goldhands
17,,신락도, 다원,"공포, 스릴러, 질병",다음 웹툰,"바이러스 감염자들의 수용소가 된 신락도, 이 곳엔 바이러스보다 더 무서운 것이 존재하고 있었다.",0.0,9.8,1.0,0.0,http://t1.daumcdn.net/webtoon/op/7ac62f47b0aab886a6d676362d56042f12460e27,http://webtoon.daum.net/webtoon/view/sinrakdo
18,,쥐덫, 오닛,"학원, 스릴러, 스토커",다음 웹툰,어차피 세상에 제정신인 놈들은 없다.,19.0,7.5,1.0,0.0,http://t1.daumcdn.net/webtoon/op/2db170f5ebb43236cb2ae373cca917840338ae0c,http://webtoon.daum.net/webtoon/view/rattrap
19,,우리반 숙경이, 해밀 외 1인/뽀얌,"드라마, 학원, 귀신",다음 웹툰,27년째 학교에 앉아 있는 존재감 없는 찐따 귀신 숙경이 이야기,0.0,9.9,1.0,0.0,http://t1.daumcdn.net/webtoon/op/df1aa006a4e92fa8b253718280de57bc936c89d7,http://webtoon.daum.net/webtoon/view/ourclass
20,,아싸가 알아버렸다, 곰브,"학원, 코믹, 고등학생",다음 웹툰,학교가 싫은 아싸 두봉과 학교가 너무 좋은 인싸 윤정의 이야기!,0.0,8.4,1.0,0.0,http://t1.daumcdn.net/webtoon/op/07d8ac418599e64a74ad64f280d85eb495104449,http://webtoon.daum.net/webtoon/view/noticingOutsider
21,,도깨비언덕에 왜 왔니?, 김용회,"판타지, 초자연, 도깨비",다음 웹툰,"엄마, 아빠 없는 집에 그 녀석들이 나타나기 시작한다?",0.0,9.8,1.0,0.0,http://t1.daumcdn.net/webtoon/op/aa9a5ee6704ce35907272b217323c058ff230046,http://webtoon.daum.net/webtoon/view/goblinhill
22,,살어리랏다, 김민소,"스릴러, 미스터리, 도박",다음 웹툰,돈이 되는 거라면 뭐든지 낚는 김청산의 생존법을 공개한다.,19.0,9.6,1.0,0.0,http://t1.daumcdn.net/webtoon/op/e6f1899fc6176e211c39df505be5bbe269a4b6c7,http://webtoon.daum.net/webtoon/view/alive
23,,전생에 나라를 구한 자, 현마담,"학원, 코믹, 액션, 전생",다음 웹툰,왕따 소년이 의문의 귀신의 도움을 받아 학교를 평정하여 새로운 삶을 살게 되는데..,0.0,9.5,1.0,0.0,http://t1.daumcdn.net/webtoon/op/39abaa46efe4073aac06596bd7b5c67a4322b8ee,http://webtoon.daum.net/webtoon/view/previouslife
24,,백작가의 불청객들, 아르누니,"드라마, 가족, 사랑",다음 웹툰,진실된 사랑과 평화를 찾아가는 필데트 백작 가족의 이야기,0.0,9.8,1.0,0.0,http://t1.daumcdn.net/webtoon/op/ba8ba360016072d6a9d2a97eed021c0124bff0e6,http://webtoon.daum.net/webtoon/view/unwelcomeguest
25,,닭은 의외로 위대하다, 미역의효능,"드라마, 판타지, 좀비",다음 웹툰,"닭과 고양이, 평범한 20대와 비범한 할머니의 좀비세상 서바이벌",0.0,9.9,1.0,0.0,http://t1.daumcdn.net/webtoon/op/02db90fadfe9f0d831680a7e651b22d24c8e7ed9,http://webtoon.daum.net/webtoon/view/greatchicken
26,,관존 이강진, 노경찬/송윤달,"무협, 성장드라마, 무림",다음 웹툰,미친놈 대인되는 이야기.,0.0,9.9,1.0,0.0,http://t1.daumcdn.net/webtoon/op/8111940e55ca7e563b67f961f815af802b37a6b5,http://webtoon.daum.net/webtoon/view/leekangjin
27,,노력의 卍(만), 행자,"판타지, 액션, 배틀",다음 웹툰,"세상을 지배하는 천중궐, 최정상까지 노오력만으로 올라가는 여정",0.0,9.7,1.0,0.0,http://t1.daumcdn.net/webtoon/op/98aeda1c854d670a3165ac726c63752f94625cca,http://webtoon.daum.net/webtoon/view/endeavor
