,id,title,author,genre,platform,story,age,rate,free,complete,thumbnail,website
0,,내일도 출근!, 맥퀸스튜디오,"순정, 드라마, 연애",다음 웹툰,회사 최악의 까칠남 VS 결혼은 싫다며 도망간 전남친. 둘 중 누구를 선택해야지?!,0,9.9,1,0,http://t1.daumcdn.net/webtoon/op/896f89a22adf452cbf21179fd08439330368c728,http://webtoon.daum.net//webtoon/view/favorite
1,,비밀 사이, 맥퀸스튜디오,"순정, 드라마, BL",다음 웹툰,미웠던 사람이 좋아지는 건 한 순간! 두근두근 회사 로맨스 시작?!,0,9.9,1,0,http://t1.daumcdn.net/webtoon/op/51bd8f2255ac5ea4bfd438cfd06296f2c1554747,http://webtoon.daum.net//webtoon/view/favorite
2,,우리집이거든요!, 공룡,"순정, 드라마, 설렘",다음 웹툰,극한인생 서은우에게 찾아 온 거액의 상속! 그리고 상속 예정인 집에 살고 있는 정체모를 그 녀석들!,0,9.5,1,0,http://t1.daumcdn.net/webtoon/op/5956c119b0a7db2190b6a8d46d64273bf078fdb3,http://webtoon.daum.net//webtoon/view/favorite
3,,흔한 환생녀의 사정, 풀모,"순정, 판타지, 시공간초월",다음 웹툰,흔한 환생녀 발레리의 철벽 로맨스!,0,9.9,1,0,http://t1.daumcdn.net/webtoon/op/62be8f1bbd526a4a2fca1ca891c1f154c6c59d7f,http://webtoon.daum.net//webtoon/view/favorite
4,,바니와 오빠들, 니은,"순정, 코믹, 연애",다음 웹툰,"흑역사 첫 연애를 끝낸 뒤, 자꾸만 남자들이 꼬이는 중! 누가 똥차고 누가 벤츠일까?",0,9.9,1,0,http://t1.daumcdn.net/webtoon/op/1eb2bbe92309369317bedb706c6bbee6ccfe8b58,http://webtoon.daum.net//webtoon/view/favorite
5,,악녀의 탄생, TB,"순정, 판타지, 악마",다음 웹툰,한순간 모든 재산을 빼앗긴 그녀 앞에 나타난 세 남자. 그녀의 선택은?,0,9.8,1,0,http://t1.daumcdn.net/webtoon/op/40677e23bd84537b39814f4214edb788b92d9360,http://webtoon.daum.net//webtoon/view/favorite
6,,샬롯에게는 다섯 명의 제자가 있다, 용용,"판타지, 순정, 마법",다음 웹툰,세상을 구한 대마법사. 죽음에서 돌아와 새로운 인생을 살려는데 제자들이 이상하다.,0,9.9,1,0,http://t1.daumcdn.net/webtoon/op/9d72464835624309c59fdaceabd3ed12a7348c43,http://webtoon.daum.net//webtoon/view/favorite
7,,수린당 -비늘 고치는 집-, 일링스,"드라마, 판타지, 사랑",다음 웹툰,이런 게 축복이라면 필요 없어. 운명을 바꾸기 위한 자매의 여정,0,9.9,1,0,http://t1.daumcdn.net/webtoon/op/429692a39333214e6c84f0373af793b8a92a055f,http://webtoon.daum.net//webtoon/view/favorite
8,,스타의 학교생활, 올챙구리,"학원, 드라마, 학교생활",다음 웹툰,"10대 스타들의 리얼 관찰 예능쇼, 그런데 국민 비호감 출연?!",0,9.7,1,0,http://t1.daumcdn.net/webtoon/op/e4aca99f1c57e318afc87fef4916b0861200805c,http://webtoon.daum.net//webtoon/view/favorite
9,,저기요 손님, 강소소,"드라마, 코믹, 친구",다음 웹툰,너무 다른 네 명의 절친이 뜬금없이 카페 동업하면서 벌어지는 좌충우돌 청춘드라마,0,9.5,1,0,http://t1.daumcdn.net/webtoon/op/8202c8be50f1c0abf85017140344f7c5b9677061,http://webtoon.daum.net//webtoon/view/favorite
10,,미완결, 네온비/안나래,"드라마, 성인, 소설가",다음 웹툰,오랜 팬으로 동경하던 천재 소설가 선생님이 내 애인을 강렬히 원한다,19,9.8,1,0,http://t1.daumcdn.net/webtoon/op/69007879e0d289c03b218146ef590c7390c1ba6e,http://webtoon.daum.net//webtoon/view/favorite
